City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Gushikawa,JP,26.3544,127.8686,63.63,82,40,3.44,scattered clouds
260,Nanortalik,GL,60.1432,-45.2371,10.8,61,50,12.26,scattered clouds
261,Sitka,US,57.0531,-135.33,42.69,81,100,4.61,moderate rain
262,Oranjemund,NA,-28.55,16.4333,63.9,92,2,4.92,clear sky
263,Takoradi,GH,4.8845,-1.7554,78.62,80,13,4.36,few clouds
264,Along,IN,28.1667,94.7667,46.54,75,7,1.83,clear sky
265,Half Moon Bay,US,37.4636,-122.4286,51.71,85,100,12.66,mist
266,Benalla,AU,-36.55,145.9833,78.85,50,3,4.68,clear sky
267,Moranbah,AU,-22.0016,148.0466,84.31,46,13,5.17,few clouds
268,Rajec,SK,49.089,18.6401,39.9,99,100,5.75,mist
269,Feicheng,CN,35.2606,117.9675,32.43,58,0,1.43,clear sky
270,Ballina,AU,-28.8667,153.5667,79.79,62,23,3.24,few clouds
271,Ola,RU,59.5833,151.2833,2.64,76,100,15.84,overcast clouds
272,Unai,BR,-16.3575,-46.9061,71.17,84,53,1.72,broken clouds
273,Brownwood,US,31.7093,-98.9912,72.72,44,0,6.91,clear sky
274,Albac,RO,46.45,22.9667,46.04,76,60,2.42,broken clouds
275,Nome,US,64.5011,-165.4064,17.67,73,100,8.05,overcast clouds
276,Sabha,LY,27.0377,14.4283,52.02,60,1,8.57,clear sky
277,Mittagong,AU,-34.45,150.45,78.93,36,0,3.31,light rain
278,Husavik,IS,66.0449,-17.3389,30.81,88,100,15.14,overcast clouds
279,Airai,TL,-8.9266,125.4092,64.49,85,100,8.01,overcast clouds
280,Tura,IN,25.5198,90.2201,54.41,70,0,3.89,clear sky
281,Sibu,MY,2.3,111.8167,74.25,98,99,1.19,overcast clouds
282,Vestmannaeyjar,IS,63.4427,-20.2734,38.14,82,100,4.68,overcast clouds
283,Dalnerechensk,RU,45.9339,133.7225,-10.07,95,55,6.93,broken clouds
284,Zhigansk,RU,66.7697,123.3711,-21.46,98,100,14.74,overcast clouds
285,Tortoli,IT,39.9256,9.6572,54.55,76,79,4.81,broken clouds
286,Hanyang,CN,32.1371,105.5126,36.19,82,67,2.17,broken clouds
287,Mahbubabad,IN,17.6167,80.0167,66.99,92,36,4.27,scattered clouds
288,Faanui,PF,-16.4833,-151.75,81.63,70,83,17.72,broken clouds
289,Sassandra,CI,4.95,-6.0833,75.79,85,5,4.56,clear sky
290,Sarakhs,IR,36.5449,61.1577,41.34,44,0,9.42,clear sky
291,Samarai,PG,-10.6167,150.6667,84.99,66,99,5.19,overcast clouds
292,Azul,AR,-36.777,-59.8585,70.97,29,0,5.75,clear sky
293,Acapulco,MX,16.8634,-99.8901,78.91,69,80,6.58,broken clouds
294,Turukhansk,RU,65.8167,87.9833,-18.65,99,96,3.44,overcast clouds
295,Saint-Augustin,CA,51.226,-58.6502,21.67,97,98,4.76,overcast clouds
296,Westport,US,41.1415,-73.3579,51.19,81,75,0.0,broken clouds
297,Mnogovershinnyy,RU,53.9353,139.9242,-4.56,95,96,13.4,light snow
298,Sapu,CN,36.174,107.7082,23.14,42,0,2.44,clear sky
299,Sisimiut,GL,66.9395,-53.6735,-2.69,82,89,17.4,overcast clouds
300,Uruacu,BR,-14.5247,-49.1408,70.21,91,43,0.22,light rain
301,Iberia,US,29.9502,-91.7507,75.27,94,75,19.57,broken clouds
302,Alpena,US,45.0617,-83.4327,35.92,85,100,4.61,overcast clouds
303,Zhaotong,CN,27.3167,103.7167,29.39,93,100,4.81,light snow
304,Pangody,RU,65.85,74.4859,-2.6,95,100,18.21,overcast clouds
305,Alofi,NU,-19.0595,-169.9187,79.18,79,100,9.31,overcast clouds
306,Antofagasta,CL,-23.65,-70.4,65.48,81,44,6.73,scattered clouds
307,Roswell,US,34.0232,-84.3616,63.99,95,75,1.01,mist
308,Zhangye,CN,38.9342,100.4517,17.2,43,0,2.64,clear sky
309,Troitskoye,RU,52.9821,84.6757,14.38,92,100,6.82,overcast clouds
310,San Policarpo,PH,12.1791,125.5072,79.2,88,100,18.5,heavy intensity rain
311,San Felix,UY,-32.3333,-58.1333,77.38,19,0,7.05,clear sky
312,Ubata,BR,-14.2139,-39.5228,69.67,99,97,0.34,overcast clouds
313,Aanekoski,FI,62.6946,25.818,19.67,100,100,2.55,light snow
314,Dorado,PR,18.4588,-66.2677,78.69,88,4,8.93,clear sky
315,Salalah,OM,17.0151,54.0924,73.42,59,44,4.5,scattered clouds
316,San Ramon,US,37.7799,-121.978,50.22,89,100,13.8,moderate rain
317,Qatana,SY,33.4354,36.0815,44.73,49,99,7.67,overcast clouds
318,Vila Velha,BR,-20.3297,-40.2925,71.55,92,0,3.44,clear sky
319,La Ronge,CA,55.1001,-105.2842,15.76,95,38,6.44,scattered clouds
320,Stromness,GB,58.965,-3.296,37.87,84,8,5.01,clear sky
321,Kanye,BW,-24.9667,25.3327,64.83,59,6,5.93,clear sky
322,Karratha,AU,-20.7377,116.8463,90.05,40,100,12.39,overcast clouds
323,Margate,GB,51.3813,1.3862,43.72,77,5,7.65,clear sky
324,Raudeberg,NO,61.9875,5.1352,30.87,74,12,6.11,few clouds
325,Visby,SE,57.6409,18.296,39.42,93,100,16.11,drizzle
326,Tulun,RU,54.5611,100.5792,-5.93,100,96,3.47,overcast clouds
327,Yermekeyevo,RU,54.0761,53.6712,20.95,90,100,15.43,overcast clouds
328,Toora-Khem,RU,52.4675,96.11,-10.62,100,98,0.04,overcast clouds
329,Nemuro,JP,43.3236,145.575,18.81,54,25,19.26,scattered clouds
330,Kenai,US,60.5544,-151.2583,37.45,75,100,6.91,overcast clouds
331,Matehuala,MX,23.65,-100.65,67.98,21,98,10.65,overcast clouds
332,Bad Ems,DE,50.3333,7.7167,47.52,84,74,6.02,broken clouds
333,Asau,RO,46.4333,26.4,31.12,74,15,6.98,few clouds
334,Hambantota,LK,6.1241,81.1185,71.49,82,31,11.07,scattered clouds
335,Karachi,PK,24.9056,67.0822,55.22,50,4,6.91,haze
336,Methoni,GR,36.8197,21.7049,52.21,67,0,4.63,clear sky
337,Bara,NG,10.3744,10.7288,66.36,38,68,10.18,broken clouds
338,Sain Alto,MX,23.5833,-103.25,59.94,27,96,18.3,overcast clouds
339,Akdepe,TM,42.0551,59.3788,46.0,62,100,25.14,overcast clouds
340,Omboue,GA,-1.5746,9.2618,77.79,83,100,3.29,overcast clouds
341,Port-Gentil,GA,-0.7193,8.7815,80.53,78,100,9.91,overcast clouds
342,Shitanjing,CN,39.2342,106.3439,18.73,36,3,4.34,clear sky
343,Porto Belo,BR,-27.1578,-48.5531,74.77,91,61,9.53,broken clouds
344,Oranjestad,AW,12.524,-70.027,78.91,84,2,1.99,clear sky
